series_id,compareID1,compareID2,compareFile1,compareFile2,LEFT,RIGHT,Total,max_count,Agreement,MaxVote,num_reviewers,majority_label,label_composition,label_detail_visibility,label_distance_appropriateness,label_dynamic_range,label_exposure_quality,label_field_of_view,label_lighting_quality,label_motion_blur,label_other,label_sharpness,label_subject_interest
000001,0,1,1-1.JPG,1-2.JPG,0,5,5,5,1.0,1,5,field_of_view,0,1,0,0,0,2,0,0,0,1,1
000001,0,2,1-1.JPG,1-3.JPG,0,4,4,4,1.0,2,4,exposure_quality,0,0,0,0,2,2,0,0,0,0,0
000001,0,3,1-1.JPG,1-4.JPG,2,1,3,2,0.6666666666666666,0,3,detail_visibility,0,1,0,0,1,1,0,0,0,0,0
000001,1,0,1-2.JPG,1-1.JPG,1,0,1,1,1.0,1,1,sharpness,0,0,0,0,0,0,0,0,0,1,0
000001,1,2,1-2.JPG,1-3.JPG,2,1,3,2,0.6666666666666666,1,3,other,0,0,0,0,0,0,0,0,3,0,0
000001,1,3,1-2.JPG,1-4.JPG,2,0,2,2,1.0,1,2,detail_visibility,0,1,0,0,1,0,0,0,0,0,0
000001,2,0,1-3.JPG,1-1.JPG,2,0,2,2,1.0,2,2,composition,1,0,0,0,1,0,0,0,0,0,0
000001,2,1,1-3.JPG,1-2.JPG,6,0,6,6,1.0,2,6,field_of_view,0,1,0,0,0,2,0,0,1,0,2
000001,2,3,1-3.JPG,1-4.JPG,3,1,4,3,0.75,2,4,detail_visibility,0,2,0,0,0,0,0,0,0,0,2
000001,3,0,1-4.JPG,1-1.JPG,3,0,3,3,1.0,3,3,composition,1,0,0,0,1,1,0,0,0,0,0
000001,3,1,1-4.JPG,1-2.JPG,0,3,3,3,1.0,1,3,detail_visibility,0,1,0,0,0,1,0,0,1,0,0
000001,3,2,1-4.JPG,1-3.JPG,1,0,1,1,1.0,3,1,detail_visibility,0,1,0,0,0,0,0,0,0,0,0
000002,0,1,2-1.JPG,2-2.JPG,3,0,3,3,1.0,0,3,field_of_view,0,1,0,0,0,2,0,0,0,0,0
000002,0,2,2-1.JPG,2-3.JPG,1,0,1,1,1.0,0,1,field_of_view,0,0,0,0,0,1,0,0,0,0,0
000002,0,3,2-1.JPG,2-4.JPG,2,1,3,2,0.6666666666666666,0,3,composition,1,0,0,0,0,0,0,0,1,1,0
000002,0,4,2-1.JPG,2-5.JPG,2,0,2,2,1.0,0,2,distance_appropriateness,0,0,1,0,0,0,0,0,1,0,0
000002,0,5,2-1.JPG,2-6.JPG,2,1,3,2,0.6666666666666666,0,3,exposure_quality,0,0,0,0,1,0,1,0,1,0,0
000002,0,7,2-1.JPG,2-8.JPG,3,2,5,3,0.6,0,5,composition,2,0,0,0,0,1,1,0,1,0,0
000002,1,0,2-2.JPG,2-1.JPG,0,3,3,3,1.0,0,3,field_of_view,0,1,0,0,0,2,0,0,0,0,0
000002,1,2,2-2.JPG,2-3.JPG,0,2,2,2,1.0,2,2,field_of_view,0,0,0,0,0,1,0,0,0,0,1
000002,1,3,2-2.JPG,2-4.JPG,0,2,2,2,1.0,3,2,detail_visibility,0,1,0,0,0,0,0,0,1,0,0
000002,1,4,2-2.JPG,2-5.JPG,0,1,1,1,1.0,4,1,field_of_view,0,0,0,0,0,1,0,0,0,0,0
