scene,patch,camera,iso,lap_gt,overall_gt,sigma_gt,musiq_gt,lap_noisy,overall_noisy,sigma_noisy,musiq_noisy
0001_001_S6_00100_00060_3200_L,010_7_11,S6,100,3.1203718257602304,0.22368370702175344,0.33976300840753293,22.08095932006836,188.99391135177575,0.36193284446879653,2.8162311618317664,21.26990509033203
0001_001_S6_00100_00060_3200_L,010_10_16,S6,100,12.94836404826492,0.340000292379953,0.47927156830665135,25.56090545654297,421.52298595919274,0.547755498622698,3.9284003220714845,24.26192283630371
0001_001_S6_00100_00060_3200_L,010_0_14,S6,100,6.968633062904701,0.24939920935001073,0.45060164813101666,17.651416778564453,180.66738842334598,0.34250078186971655,2.749585824586539,18.300708770751953
0002_001_S6_00100_00020_3200_N,010_8_17,S6,100,6.780440360074863,0.3115846863131732,0.42466395591282396,21.598678588867188,209.4006428939756,0.4239477413423883,2.83072534030595,25.370952606201172
0002_001_S6_00100_00020_3200_N,010_2_18,S6,100,4.6051593935117126,0.27025987227277065,0.3932618077797425,19.224573135375977,169.3164184296038,0.35076240045340235,2.6557347637151403,17.209999084472656
0002_001_S6_00100_00020_3200_N,010_2_10,S6,100,4.9733425041195005,0.3011580084274947,0.31493412921095826,36.395816802978516,122.40690248995088,0.37718224582638027,2.1698103172788,37.89244079589844
0003_001_S6_00100_00060_3200_H,010_1_7,S6,100,17.950172688812017,0.30335137134925294,0.4506016481310154,29.130096435546875,161.0634998807218,0.3915331670414403,2.64686425954222,27.702346801757812
0003_001_S6_00100_00060_3200_H,010_10_5,S6,100,9.83109587058425,0.34580801719181187,0.49420073950186655,16.897512435913086,162.3467656141147,0.43174238689778416,2.712915385680052,17.884830474853516
0003_001_S6_00100_00060_3200_H,010_8_16,S6,100,26.648071644594893,0.33661884218747945,0.49582415443769845,26.133148193359375,178.18390560150146,0.4304795917701361,2.8818472952485643,28.002487182617188
0004_001_S6_00100_00060_4400_L,010_10_14,S6,100,7.431238796561956,0.3328625032621628,0.39710284875880636,18.28129005432129,265.7829418813344,0.47207970749328204,2.9860330568423525,20.747577667236328
0004_001_S6_00100_00060_4400_L,010_7_3,S6,100,6.30286581791006,0.366646473829595,0.43848431408642763,16.06332015991211,268.9658943244722,0.5019832746956122,3.148747081002211,19.632915496826172
0004_001_S6_00100_00060_4400_L,010_8_17,S6,100,8.28372114058584,0.30534264807963657,0.4958241544376998,16.986675262451172,261.33744859322906,0.44286979703932444,2.962827592581611,21.470703125
0005_001_S6_00100_00060_4400_N,010_5_9,S6,100,19.77844180073589,0.43204633401993975,0.5967630861598315,44.698699951171875,121.06114196195267,0.49274807462894576,2.524502496881549,42.38867950439453
0005_001_S6_00100_00060_4400_N,010_10_10,S6,100,6.519585556350648,0.3229459889929146,0.4075967678675618,21.70589828491211,134.2037657564506,0.3972174082235978,2.3408006345041694,18.74614715576172
0005_001_S6_00100_00060_4400_N,010_6_19,S6,100,14.050307243829593,0.2836609834121314,0.6238095913996231,22.12193489074707,163.11569140851498,0.354338898622398,2.5812481261254154,18.591064453125
0006_001_S6_00100_00060_4400_H,010_4_16,S6,100,4.302169676637277,0.2624721361864409,0.33754538236430115,26.896923065185547,158.38063096627593,0.3531771807728421,2.200103652390269,45.622901916503906
0006_001_S6_00100_00060_4400_H,010_0_16,S6,100,13.388045454164967,0.3042484502120287,0.6050393792253517,21.982778549194336,163.3235315454658,0.37082542964651677,2.455480315206722,22.737262725830078
0006_001_S6_00100_00060_4400_H,010_0_15,S6,100,12.334548949962482,0.28317972246594697,0.48976548741540915,20.159656524658203,127.38853350072168,0.3332770675955292,1.7931010956300988,21.006881713867188
0007_001_S6_00100_00100_5500_L,010_10_11,S6,100,2.9099577160086483,0.3033806284175754,0.3005991691231443,17.88033676147461,278.9219798834529,0.4625006375826325,3.1085540378893826,14.869552612304688
0007_001_S6_00100_00100_5500_L,010_1_5,S6,100,18.262675057863817,0.3201172072940896,0.5002594065241613,21.529132843017578,415.65025198995136,0.5303115532614155,4.14542485307147,22.842609405517578
0007_001_S6_00100_00100_5500_L,010_1_9,S6,100,4.684699799632654,0.27417093681521454,0.3684329285831703,25.745433807373047,281.27541871531866,0.4456313727634302,3.2585565168972592,20.3295955657959
0008_001_S6_00100_00100_5500_N,010_5_17,S6,100,17.114709763787687,0.437850167398624,0.5046946586106303,32.032405853271484,211.11718153953552,0.5367443288208749,2.9844096419065145,30.947038650512695
0008_001_S6_00100_00100_5500_N,010_6_4,S6,100,6.2529404477681965,0.26044857025474805,0.36237426156087665,24.671733856201172,169.42645242717117,0.36371326382071795,2.259661118784764,23.001670837402344
0008_001_S6_00100_00100_5500_N,010_0_14,S6,100,16.616796377813444,0.3431717719284086,0.5824281260720047,24.22040367126465,181.09494712739252,0.4282979003119164,2.7309534995795963,27.80921173095703
0010_001_S6_00800_00350_3200_N,010_6_11,S6,800,13.268781807040796,0.3661509522990429,0.49582415443770267,28.52858543395996,451.78106555505656,0.5961441837797131,5.067833483911523,36.91907501220703
0010_001_S6_00800_00350_3200_N,010_1_18,S6,800,10.979583530686796,0.2901253930580645,0.5824281260719938,22.022701263427734,1142.7666165099945,0.7361225315251181,7.087858818542972,18.939842224121094
0010_001_S6_00800_00350_3200_N,010_8_11,S6,800,13.392210569232702,0.3852759199271267,0.44897823319518465,30.593488693237305,971.0265172570944,0.8286959227593306,6.231602254252951,24.57317352294922
0011_001_S6_00800_00500_5500_L,010_7_14,S6,800,10.759474724298343,0.29663721534900783,0.5598168729186649,19.15570831298828,2203.259597459575,0.7953726701234858,8.246932177999366,21.50564193725586
0011_001_S6_00800_00500_5500_L,010_7_9,S6,800,13.140574853634462,0.24978037777752504,0.7180956449920615,22.917625427246094,2168.448834307259,0.789369234202752,9.519539458381553,21.71540641784668
0011_001_S6_00800_00500_5500_L,010_5_9,S6,800,6.818725175224245,0.32080784758291625,0.4798657794140491,28.266555786132812,1739.9989268833306,0.8093516273560775,8.001657104008673,24.502634048461914
0012_001_S6_00800_00500_5500_N,010_4_15,S6,800,12.135403361171484,0.40441850778645844,0.6177509243773289,29.026220321655273,1262.5940943451133,0.8770030868223322,9.438124168327471,31.226421356201172
0012_001_S6_00800_00500_5500_N,010_1_6,S6,800,8.996014587348327,0.33131461461705486,0.47543052732758667,31.275875091552734,985.3509357811417,0.7881578957384643,6.478978398338555,30.3671817779541
0012_001_S6_00800_00500_5500_N,010_4_4,S6,800,12.692210847279057,0.28226074361329706,0.6651910567272504,25.455286026000977,1331.3461841454264,0.8023967221004596,10.036118339140135,45.03821563720703
0013_001_S6_03200_01250_3200_L,010_6_18,S6,3200,93.62672494351864,0.3055829076203463,1.8013773886956341,18.58021354675293,10755.814282521605,0.8633760478017016,20.682771744492737,30.267457962036133
0013_001_S6_03200_01250_3200_L,010_2_19,S6,3200,126.36730621755123,0.3261946157679005,2.0517245883182245,16.19650650024414,12448.9485646151,0.8798611821120751,22.33274073560517,28.636119842529297
0013_001_S6_03200_01250_3200_L,010_9_15,S6,3200,149.85064562782645,0.32810621163828474,1.883546108243469,19.443904876708984,6514.923372039339,0.8542646534183697,17.201646631487424,22.469482421875
0014_001_S6_03200_01250_3200_N,010_0_1,S6,3200,24.04294760315679,0.30474967018293736,0.8587926271059748,19.917659759521484,4278.443834885955,0.7951070356337545,13.022267951930791,17.51526641845703
0014_001_S6_03200_01250_3200_N,010_8_4,S6,3200,18.04966232716106,0.33341091553285596,0.03088754621886663,21.189470291137695,4407.092281772755,0.8074518359342717,2.3969520526406485,18.04442596435547
0014_001_S6_03200_01250_3200_N,010_9_14,S6,3200,23.733932371949777,0.269090723143229,0.8973622552829682,19.484283447265625,8550.891243150225,0.8503289741999592,18.321938582089214,26.22412109375
0015_001_S6_03200_01600_5500_L,010_1_0,S6,3200,95.45860992372036,0.32076563359480276,1.2062377174716359,17.81533432006836,12736.242477131775,0.88109146639048,22.764556556025784,35.37251663208008
0015_001_S6_03200_01600_5500_L,010_7_8,S6,3200,56.17168500646949,0.2927122362027784,1.3320055283903323,21.923076629638672,6916.92260764516,0.8676011278917961,16.96488096245888,21.732219696044922
0015_001_S6_03200_01600_5500_L,010_4_16,S6,3200,35.21312850341201,0.27644425516541027,1.4406265420705806,22.589092254638672,9016.45152016636,0.8749893550631347,19.54053246118498,28.953506469726562
0016_001_S6_03200_01600_5500_N,010_3_15,S6,3200,31.67391940858215,0.4587059081189485,0.9304674275450658,25.39769744873047,6127.7109043763485,0.9442648291791506,15.518259747023075,20.320575714111328
0016_001_S6_03200_01600_5500_N,010_2_19,S6,3200,29.831775925820693,0.3076286591440531,1.033623985310429,19.64417266845703,6635.939690315863,0.8314160869358861,17.211567670707794,22.84066390991211
0016_001_S6_03200_01600_5500_N,010_10_9,S6,3200,19.492352267494425,0.31785162580502013,0.790364656538542,22.51062774658203,6003.784459597431,0.8640713033109604,14.714488393812937,18.887195587158203
0017_001_GP_00100_00060_5500_N,010_2_5,GP,100,12.531874886713922,0.3916549086148366,0.3601566355176465,29.466880798339844,92.74587344168685,0.4327857266390528,1.5520593929014639,42.63207244873047
0017_001_GP_00100_00060_5500_N,010_4_6,GP,100,28.62496918067336,0.44906337347002406,0.40537914182433177,43.29277038574219,121.26722470275126,0.49569850575494506,1.5175483020640517,47.23097229003906
0017_001_GP_00100_00060_5500_N,010_10_6,GP,100,18.15670760627836,0.28068397101075837,0.7721886554716705,19.653711318969727,81.97221374488436,0.31005699633872497,1.8262062678921993,18.01946258544922
0018_001_GP_00100_00160_5500_L,010_10_3,GP,100,5.302108680596575,0.24352588198440256,0.46109556723977246,18.295164108276367,115.15966766700149,0.30619304658498464,2.1708395211072298,16.852779388427734
0018_001_GP_00100_00160_5500_L,010_5_2,GP,100,8.079928586026654,0.3562202322922287,0.5244940746133361,30.960886001586914,176.17106699733995,0.4506167269270007,2.3396122122893814,28.279579162597656
0018_001_GP_00100_00160_5500_L,010_10_4,GP,100,4.878856478026137,0.23783491168113194,0.4528192741742469,18.15563201904297,98.04836566653103,0.2929946507532839,1.9728026986420446,18.02861785888672
0019_001_GP_00800_00640_5500_L,010_5_1,GP,800,10.554027253529057,0.2456222552647175,0.6524795115752623,18.46023178100586,578.1456535123289,0.5222147052698938,5.087850396274768,19.978811264038086
0019_001_GP_00800_00640_5500_L,010_4_8,GP,800,14.014326475327834,0.26060596565498656,0.6645968456198494,30.009918212890625,1203.8919753348455,0.7404679193034482,6.684697302761872,19.553028106689453
0019_001_GP_00800_00640_5500_L,010_9_12,GP,800,28.138168316101655,0.34899828999138927,0.8488929191046178,17.009845733642578,915.4422610977199,0.763043271748476,6.43197325870968,14.425309181213379
0020_001_GP_00800_00350_5500_N,010_3_2,GP,800,16.249567857943475,0.375812909754651,0.6378474459337403,26.613304138183594,516.5466905550566,0.6085682283953603,4.379378684949386,20.819705963134766
0020_001_GP_00800_00350_5500_N,010_0_6,GP,800,210.63445106055588,0.3931318345484429,1.1075164117927434,23.117801666259766,515.3874655885156,0.5255074447493773,3.850884350970612,18.101228713989258
0020_001_GP_00800_00350_5500_N,010_6_7,GP,800,217.89904706832021,0.5416452274383918,0.7467655651676942,41.87508010864258,1106.02214717865,0.8887008232775582,4.035933853949137,56.58720397949219
0022_001_N6_00100_00060_5500_N,010_6_3,N6,100,2.2816766165196896,0.24188130386484025,0.26971162290427736,20.142719268798828,125.29364006128162,0.322107670064639,2.723271417621468,19.39033317565918
